judul,text,tanggal,sentimen
Ini Dia Deretan Bankir RI yang Jadi Bos di Danantara,ini dia deretan bankir RI yang jadi bos di danantara,2025/03/25,netral
Bursa Efek Indonesia Rilis Aturan Efek Beragun Aset,bursa efek indonesia rilis aturan efek beragun aset,2024/10/22,netral
"Bank Besar Kompak Punya Super Apps, Bagaimana Nasib Bank Digital?","bank besar kompak punya super apps , bagaimana nasib bank digital ?",2024/11/24,netral
Hutama Karya Buka Suara Soal Kasus Korupsi di Jalan Tol Trans Sumatera,hutama karya buka suara soal kasus korupsi di jalan tol trans sumatera,2024/06/21,netral
"IHSG Ambles, Sektor & Saham Ini Biang Keroknya","IHSG ambles , sektor saham ini biang keroknya",2024/12/16,negatif
"Ini Aturan Terbaru Saldo Minimum di Bank Mandiri, BRI, BNI 2025","ini aturan terbaru saldo minimum di bank mandiri , BRI , BNI 2025",2025/03/02,netral
Kisah Petani Jawa Dapat Harta Karun Emas 16 Kg Saat Gali Sawah,kisah petani jawa dapat harta karun emas 16 kg saat gali sawah,2024/10/18,netral
Profil Keluarga Rothschild dan Sumber Kekayaannya,profil keluarga rothschild dan sumber kekayaannya,2024/08/12,netral
"BDMN Umumkan Rombak Direksi dan Bagikan Dividen Rp 113,85 per Saham",BDMN umumkan rombak direksi dan bagikan dividen rp 113.85 per saham,2025/03/24,positif
Emiten Prajogo Pangestu Bangun Pabrik Senilai Rp 15 Triliun,emiten prajogo pangestu bangun pabrik senilai rp 15 triliun,2025/03/19,positif
"IHSG Ambruk 1,83%, Asing Pilih Borong 10 Saham Ini","IHSG ambruk 1.83% , asing pilih borong 10 saham ini",2025/02/28,positif
"Goldman Sachs Turunkan Peringkat RI, Bos Bursa Buka Suara","goldman sachs turunkan peringkat RI , bos bursa buka suara",2025/03/13,netral
"Awas Rekening Ludes, Kenali Modus Terbaru Maling M-Banking","awas rekening ludes , kenali modus terbaru maling m-banking",2024/09/12,netral
Bos BRI Sebut Bank Emas Bisa Tambah PDB Hingga Rp245 T,bos BRI sebut bank emas bisa tambah PDB hingga rp 245 t,2025/02/28,positif
"Jokowi Resah Banyak Warga Berobat ke LN, RI Kehilangan Rp180 T","jokowi resah banyak warga berobat ke LN , RI kehilangan rp 180 t",2024/09/06,negatif
"Seperti Sandra Dewi, Helena Lim Bungkam Usai Diperiksa 8 Jam","seperti sandra dewi , helena lim bungkam usai diperiksa 8 jam",2024/05/15,netral
"Multipolar (MLPL) Jual Saham MLPT, Raup Duit Rp 300 Miliar","multipolar ( MLPL ) jual saham MLPT , raup duit rp 300 miliar",2025/01/15,negatif
"Tertekan Kanan & Kiri, Ini Penyebab Laba Bank Danamon Anjlok 9%","tertekan kanan kiri , ini penyebab laba bank danamon anjlok 9%",2025/02/19,negatif
Bursa Sambut Baik Inisiatif Prabowo Kumpulkan Analis & Investor Saham,bursa sambut baik inisiatif prabowo kumpulkan analis investor saham,2025/03/27,netral
"Harga Saham Melesat 133% Sepekan, Surge (WIFI) Buka Suara","harga saham melesat 133% sepekan , surge ( WIFI ) buka suara",2025/01/17,positif
"Kerugian Negara di Kasus Timah Rp300 T, Siapa yang Harus Bayar?","kerugian negara di kasus timah rp 300 T , siapa yang harus bayar ?",2024/05/29,negatif
"Harga Minyak Rebound, Pasar Sorot Tarif AS & Laporan OPEC","harga minyak rebound , pasar sorot tarif AS laporan OPEC",2025/03/12,negatif
"Penuhi Ambisi 'Gila' MBS, Arab Saudi Mau Jual Rp325 T Saham Aramco","penuhi ambisi gila MBS , arab saudi mau jual rp 325 t saham aramco",2024/05/30,negatif
"Powell Beri Kabar Bahagia Buat RI, Dolar Turun ke Rp15.650","powell beri kabar bahagia buat RI , dolar turun ke rp 15.650",2024/03/07,positif
Manajemen Jelaskan Asal Usul Merger XL (EXCL) dan Smartfren (FREN),manajemen jelaskan asal usul merger XL ( EXCL ) dan smartfren ( FREN ),2024/12/27,netral
"Bursa Asia Dibuka Semringah, Sinyal Baik untuk IHSG?","bursa asia dibuka semringah , sinyal baik untuk IHSG ?",2025/01/03,positif
Rupiah Ditutup Terlemah 1 Bulan Terakhir Gegara Proyeksi Ini!,rupiah ditutup terlemah 1 bulan terakhir gegara proyeksi ini !,2024/01/10,negatif
Kronologi Kasus Mega Korupsi Jiwasraya Hingga Kena Sanksi PKU,kronologi kasus mega korupsi jiwasraya hingga kena sanksi PKU,2024/09/17,negatif
"Bos BSI (BRIS) Beberkan Strategi Bisnis Tahun Ini, Ada yang Disiapkan","bos BSI ( BRIS ) beberkan strategi bisnis tahun ini , ada yang disiapkan",2025/02/06,netral
IHSG Gagal Bertahan di Level 7.700 Tertekan Kinerja 5 Saham Ini,IHSG gagal bertahan di level 7.700 tertekan kinerja 5 saham ini,2024/09/03,negatif
"Semester I, Kredit BTN Tembus Rp352,06 T, Laba Sentuh Rp1,5 T","semester I , kredit BTN tembus rp 352.06T , laba sentuh rp 1.5 t",2024/07/25,positif
"Setoran Pajak Anjlok 30%, Perbankan RI Ikut Terancam!","setoran pajak anjlok 30% , perbankan RI ikut terancam !",2025/03/16,negatif
"Danantara Bakal Kelola Seluruh Aset, Begini Respons 4 Perusahaan BUMN","danantara bakal kelola seluruh aset , begini respons 4 perusahaan BUMN",2025/02/25,netral
Bank Mandiri Jadi Top Big Bank RI Dengan Kualitas Aset Terbaik,bank mandiri jadi top big bank RI dengan kualitas aset terbaik,2024/05/27,positif
Bank Mega Syariah Salurkan Pembiayaan Rp165 M ke Perusahaan Hashim,bank mega syariah salurkan pembiayaan rp 165 m ke perusahaan hashim,2025/02/04,positif
"Holdingisasi, Jurus Pemerintah Dorong BUMN Makin Efisien","holdingisasi , jurus pemerintah dorong BUMN makin efisien",2024/10/18,positif
"IHSG Loyo Ngekor Bursa Global, 5 Saham Ini Jadi Penekannya","IHSG loyo ngekor bursa global , 5 saham ini jadi penekannya",2024/07/25,negatif
Uang Beredar di Indonesia Agustus 2024 Nyaris Tembus Rp9.000 T,uang beredar di indonesia agustus 2024 nyaris tembus rp 9.000 t,2024/09/24,netral
"15 Fintech Angka Kredit Macetnya Gak Wajar, Bos OJK Bilang Gini","15 fintech angka kredit macetnya gak wajar , bos OJK bilang gini",2024/07/09,negatif
"OJK Terima 262.837 Aduan, Paling Banyak dari Sektor Perbankan","OJK terima 262.837 aduan , paling banyak dari sektor perbankan",2024/09/09,negatif
"Ekonomi RI Tumbuh 5,05%, tapi IHSG Tetap Ambruk Nyaris 2%","ekonomi RI tumbuh 5.05% , tapi IHSG tetap ambruk nyaris 2%",2024/08/05,negatif
"Asing Mulai Koleksi Saham RI Lagi, IHSG Langsung Tancap Gas","asing mulai koleksi saham RI lagi , IHSG langsung tancap gas",2025/03/13,positif
Rupiah Masih Belum Aman!,rupiah masih belum aman !,2025/03/04,negatif
Faisal Basri Beri Tips ke Jokowi Cara 'Suntik Mati' BUMN Sakit,faisal basri beri tips ke jokowi cara suntik mati BUMN sakit,2024/07/10,netral
Peneliti Harvard Sarankan BRI Perbanyak Beri Pinjaman ke Perempuan,peneliti harvard sarankan BRI perbanyak beri pinjaman ke perempuan,2024/03/07,netral
Krisis Properti Bikin Warga China Miskin & Tak Bisa Pindahkan Uang,krisis properti bikin warga china miskin tak bisa pindahkan uang,2024/10/24,negatif
Traditional Financee & DeFi Jadi Ancaman? Pasar Kripto Dibuka Merah,traditional financee defi jadi ancaman ? pasar kripto dibuka merah,2024/08/12,negatif
"Asing Sudah Bawa Kabur Rp21,9 T dari Pasar Modal RI, Ini Penyebabnya","asing sudah bawa kabur rp 21.9 t dari pasar modal RI , ini penyebabnya",2025/03/03,negatif
Bank Mandiri (BMRI) Pakai AI Cegah Kredit Macet,bank mandiri ( BMRI ) pakai AI cegah kredit macet,2024/04/30,netral
"IHSG Menguat 0,56%, Ini Saham Penopangnya","IHSG menguat 0.56% , ini saham penopangnya",2025/01/10,positif
"8 Perusahaan Pembiayaan Lagi Proses Akuisisi, 2 Bakal Dicaplok Asing","8 perusahaan pembiayaan lagi proses akuisisi , 2 bakal dicaplok asing",2024/11/07,netral
"Wacana RUPSLB BJB, Pengamat Sebut Layak Digelar Bila Ada Masalah GCG","wacana RUPSLB BJB , pengamat sebut layak digelar bila ada masalah GCG",2024/12/04,netral
"Kinerja Membaik, Dapat PMN & Masuk MSCI, Saham WIKA Terbang 120%","kinerja membaik , dapat PMN masuk MSCI , saham WIKA terbang 120%",2024/08/14,positif
"Miliarder Ini Ogah Bayar Pajak, Pilih Beri Uang Langsung ke Warga","miliarder ini ogah bayar pajak , pilih beri uang langsung ke warga",2024/10/22,netral
"Kantong Warga RI Tipis, Multifinance Pasang Target Realistis","kantong warga RI tipis , multifinance pasang target realistis",2025/02/14,netral
"Waspada Investasi Bodong, Kenali Ciri-cirinya!","waspada investasi bodong , kenali ciri-cirinya !",2025/02/06,netral
Asing Diam-Diam Koleksi Saham Tambang Kala IHSG Melemah,asing diam-diam koleksi saham tambang kala IHSG melemah,2024/11/15,positif
Cara Membersihkan Nama dari SLIK OJK atau BI Checking,cara membersihkan nama dari SLIK OJK atau BI checking,2025/03/06,netral
OJK Cabut Izin Usaha Indosterling AM dan Sanksi 6 Perusahaan Ini,OJK cabut izin usaha indosterling AM dan sanksi 6 perusahaan ini,2024/09/06,negatif
Sosok Ratu Judi Asal Israel yang Hadiri Pelantikan Donald Trump,sosok ratu judi asal israel yang hadiri pelantikan donald trump,2025/01/21,netral
"Direktur CIMB Niaga (BNGA) Mengundurkan Diri, Ini Alasannya","direktur CIMB niaga ( BNGA ) mengundurkan diri , ini alasannya",2025/03/14,negatif
"Mundur Dari Komut Pertamina Demi Dukung Ganjar, Ahok Lepas Gaji Segini","mundur dari komut pertamina demi dukung ganjar , ahok lepas gaji segini",2024/02/03,netral
19 Sekuritas Minat Fasilitasi Short Selling,19 sekuritas minat fasilitasi short selling,2024/08/13,netral
Kapan Waktu Terbaik Beli Saham? Begini Cara Menentukannya,kapan waktu terbaik beli saham ? begini cara menentukannya,2024/08/22,netral
Perusahaan-Perusahaan BUMN Kompak Alihkan Saham Seri B Untuk Danantara,perusahaan-perusahaan BUMN kompak alihkan saham seri b untuk danantara,2025/03/24,netral
"PTBA Diversifikasi Bisnis Batu Bara, Bidik Peluang Sektor Baterai","PTBA diversifikasi bisnis batu bara , bidik peluang sektor baterai",2024/08/05,positif
"KAI Terbitkan Obligasi dan Sukuk Rp 2 T, Segini Kuponnya","KAI terbitkan obligasi dan sukuk rp 2 T , segini kuponnya",2024/11/04,positif
"Habibie Berhasil Buat Dolar Rp16.800 Jadi Rp6.550, Ini Rahasianya","habibie berhasil buat dolar rp 16.800 jadi rp 6.550 , ini rahasianya",2025/03/01,netral
"Kena Hack Rp 221 M, Indodax Belum Terdaftar di Bursa Kripto RI CFX","kena hack rp 221 M , indodax belum terdaftar di bursa kripto RI CFX",2024/09/17,negatif
"CCP Diluncurkan, Bos BI Kabarkan Bank Sentral Seluruh Dunia","CCP diluncurkan , bos BI kabarkan bank sentral seluruh dunia",2024/09/30,positif
"IHSG Dibuka Naik 1% Hari Ini, Tersengat Euforia Warga RI Sambut THR","IHSG dibuka naik 1% hari ini , tersengat euforia warga RI sambut THR",2025/03/12,positif
Simak! Lima Jurus BNI Hadapi Tantangan 2025,simak ! lima jurus BNI hadapi tantangan 2025,2025/01/03,netral
"Breaking! Pasar Masih Volatil, IHSG Melesat Naik 1% Lebih","breaking ! pasar masih volatil , IHSG melesat naik 1% lebih",2025/03/05,positif
"Duit di Rekening Terkuras Habis, Awas Modus Baru Maling M-Banking","duit di rekening terkuras habis , awas modus baru maling m-banking",2025/02/08,netral
"Ribuan Massa Demo Peringatan Darurat, Rupiah Ambruk ke Rp15.595/US$","ribuan massa demo peringatan darurat , rupiah ambruk ke rp 15.595us",2024/08/22,negatif
"Gara-gara Ulah AS, Harga Minyak Dunia Anjlok","gara-gara ulah AS , harga minyak dunia anjlok",2025/03/11,negatif
"IHSG Kebakaran di Sesi I, Anjlok 2%!","IHSG kebakaran di sesi I , anjlok 2% !",2025/02/25,negatif
"Boikot & Anti-Israel 'Sukses', Laba McDonald's Nyusut di Q1 2024","boikot anti-israel sukses , laba mcdonalds nyusut di Q1 2024",2024/05/01,positif
"Alasan Sebenarnya 12 Bank Bangkrut di RI Sejak Awal 2024, Cek Daftar!","alasan sebenarnya 12 bank bangkrut di RI sejak awal 2024 , cek daftar !",2024/06/15,negatif
"WIKA-PTPP Bakal Digabung, Erick Thohir Ungkap Induknya","wika-ptpp bakal digabung , erick thohir ungkap induknya",2024/03/19,netral
