judul,text,tanggal,sentimen
Intip Portofolio Warren Buffett per Januari 2025,intip portofolio warren buffett per januari 2025,2025/01/31,netral
"FCA Bikin Investor Ritel Resah, Ini Tanggapan OJK","FCA bikin investor ritel resah , ini tanggapan OJK",2024/06/06,negatif
Ini Dia Proyek-proyek yang Bakal Didanai Danantara Pertama Kali,ini dia proyek-proyek yang bakal didanai danantara pertama kali,2025/03/24,netral
Derasnya Aksi Jual & Petaka IHSG Usai Disentil MSCI-Goldman Sachs,derasnya aksi jual petaka IHSG usai disentil msci-goldman sachs,2025/03/18,negatif
"Sudah Berdiri Sejak 1993, Ini Pemilik Mal Ciputra","sudah berdiri sejak 1993 , ini pemilik mal ciputra",2024/10/04,netral
QRIS Makin Diminati Turis Asing dari Singapura hingga Thailand,QRIS makin diminati turis asing dari singapura hingga thailand,2024/07/17,positif
"Breaking! IHSG Melesat 1% Lebih, Balik ke Level 7.200","breaking ! IHSG melesat 1% lebih , balik ke level 7.200",2024/11/22,positif
Bos LPS Kaget Perbankan di Jerman 80% Dikuasai Bank Kecil Syariah,bos LPS kaget perbankan di jerman 80% dikuasai bank kecil syariah,2024/06/25,netral
"Tim Investigas AXA Finansial Diduga Tipu Rp 2,3 M, Begini Modusnya","tim investigas AXA finansial diduga tipu rp 2.3 M , begini modusnya",2024/09/04,negatif
Daftar 10 Raja Properti Terkaya di Indonesia,daftar 10 raja properti terkaya di indonesia,2025/01/22,netral
Terungkap Ada Peramal Sakti di Balik Kejayaan Bisnis Salim Group,terungkap ada peramal sakti di balik kejayaan bisnis salim group,2024/06/08,netral
"Dulu Tukang Ojek, Ternyata Ini yang Bikin Haji Isam Kaya Raya","dulu tukang ojek , ternyata ini yang bikin haji isam kaya raya",2024/12/08,netral
"Pajak Anjlok Bikin APBN Tekor Parah, Tambah Utang Bu Sri Mulyani?","pajak anjlok bikin APBN tekor parah , tambah utang bu sri mulyani ?",2024/07/08,negatif
"Transaksi Digital Melesat, Warga RI Kompak Pindah ke Layanan Ini","transaksi digital melesat , warga RI kompak pindah ke layanan ini",2025/02/19,positif
"Banyak ATM Tutup di Indonesia, Ini Alasan Sebenarnya","banyak ATM tutup di indonesia , ini alasan sebenarnya",2024/07/13,negatif
"Tahun Ini, OJK Mau Rilis 16 Aturan Soal Asuransi dan Dapen","tahun ini , OJK mau rilis 16 aturan soal asuransi dan dapen",2025/02/03,netral
Daftar 14 BUMN Sakit Selain PT PANN,daftar 14 BUMN sakit selain PT PANN,2024/10/21,netral
Bos BI Targetkan Transaksi DNDF US$1 Miliar per Hari di 2030,bos BI targetkan transaksi DNDF US 1 miliar per hari di 2030,2024/11/29,positif
Raja Rokok RI Langsung Ganti Nama Perusahaan Setelah Mimpi di Makam,raja rokok RI langsung ganti nama perusahaan setelah mimpi di makam,2025/02/22,netral
"Akhir Pekan IHSG Gak Sumringah, 5 Saham Ini yang Jadi Bebannya","akhir pekan IHSG gak sumringah , 5 saham ini yang jadi bebannya",2024/07/19,negatif
"IHSG Cerah Usai Pidato Kenegaraan Jokowi, BUMN Jadi Saham Penopang","IHSG cerah usai pidato kenegaraan jokowi , BUMN jadi saham penopang",2024/08/16,positif
"Perbedaan Paylater dan Pindar, Awas Jangan Tertukar","perbedaan paylater dan pindar , awas jangan tertukar",2025/02/20,netral
Danantara Buka Opsi Joint Venture Hingga Kelola Dana Asing,danantara buka opsi joint venture hingga kelola dana asing,2025/02/24,netral
"Jadi COO Danantara, Ini Profil Dony Oskaria","jadi COO danantara , ini profil dony oskaria",2025/02/24,netral
"Dibuka Melemah, IHSG Bangkit Diangkat Emiten Prajogo","dibuka melemah , IHSG bangkit diangkat emiten prajogo",2024/12/06,positif
"PT Pos Rilis Sukuk Rp 1 T, Kasih Bunga Segini","PT pos rilis sukuk rp 1 T , kasih bunga segini",2025/01/10,positif
"Lahir di Kandang Ayam, Hermanto Tanoko Sekarang Berharta Rp554,87 T","lahir di kandang ayam , hermanto tanoko sekarang berharta rp 554.87 t",2024/07/17,netral
"Nantikan Hasil PDB RI Esok Hari, Dolar Kembali Naik ke Rp15.750","nantikan hasil PDB RI esok hari , dolar kembali naik ke rp 15.750",2024/11/04,negatif
"Aman & Legal, Trading Berjangka Jadi Solusi Diversifikasi Investasi","aman legal , trading berjangka jadi solusi diversifikasi investasi",2024/11/05,positif
2 Perusahaan Asuransi Alihkan Portofolio Syariah ke Entitas Zurich,2 perusahaan asuransi alihkan portofolio syariah ke entitas zurich,2024/10/04,netral
"Tipu Bank & Bikin Rugi Rp 79 T, Bill Hwang Dihukum 10 tahun Penjara","tipu bank bikin rugi rp 79 T , bill hwang dihukum 10 tahun penjara",2024/11/21,negatif
"IHSG Ambruk Lagi, Kurang dari Sebulan Sudah Ambles Hampir 10%","IHSG ambruk lagi , kurang dari sebulan sudah ambles hampir 10%",2025/02/10,negatif
"Rupiah Menguat Usai Tiga Hari Beruntun Tertekan, Dolar ke Rp 15.575","rupiah menguat usai tiga hari beruntun tertekan , dolar ke rp 15.575",2024/10/24,positif
